Method            Description                                              Return Type
add()             Add an item to the list                                   boolean | void
addAll()          Add a collection of items to the list                     boolean
clear()           Remove all items from the list                            void
clone()           Create a copy of the ArrayList                            Object
contains()        Checks whether an item exists in the list                 boolean
ensureCapacity()  Increase the capacity to fit a specified number of items  void
forEach()         Perform an action on every item in the list               void
get()             Return the item at a specific position in the list        T
indexOf()         Return the position of the first occurrence of an item    int
isEmpty()         Checks whether the list is empty                          boolean
iterator()        Return an Iterator object for the ArrayList               Iterator
lastIndexOf()     Return the position of the last occurrence of an item     int
listIterator()    Return a ListIterator object for the ArrayList            ListIterator
remove()          Remove an item from the list                              boolean | T
removeAll()       Remove a collection of items from the list                boolean
removeIf()        Remove all items which meet a specified condition         boolean
replaceAll()      Replace each item with the result of an operation         void
retainAll()       Remove all elements not belonging to a specified collection boolean
set()             Replace an item at a specified position in the list       T
size()            Return the number of items in the list                    int
sort()            Sort the list                                             void
spliterator()     Return a Spliterator object for the ArrayList             Spliterator
subList()         Return a sublist with access to a range of items          List
toArray()         Return an array containing the list's items               Object[]
trimToSize()      Reduce the capacity of the list to match its items        Object[]
